Date,Roti Amount,Basmathi rice Amount,Samba rice Amount,Cooking oil Amount,Chicken Amount,Fish Amount,Prawns Amount,Cuttlefish Amount,Egg Amount,Salt Amount,Pepper Amount,Chilie flakes Amount,Sausage Amount,Cheese Amount,Fresh milk Amount,Carrot Amount,Leeks Amount,Cabage Amount,Pinnaple Amount,Sesame oil Amount,Tomato ketchup Amount,Dark sauce Amount,Oyster sauce Amount,Roti Amount (Unit),Basmathi rice Amount (Unit),Samba rice Amount (Unit),Cooking oil Amount (Unit),Chicken Amount (Unit),Fish Amount (Unit),Prawns Amount (Unit),Cuttlefish Amount (Unit),Egg Amount (Unit),Salt Amount (Unit),Pepper Amount (Unit),Chilie flakes Amount (Unit),Sausage Amount (Unit),Cheese Amount (Unit),Fresh milk Amount (Unit),Carrot Amount (Unit),Leeks Amount (Unit),Cabage Amount (Unit),Pinnaple Amount (Unit),Sesame oil Amount (Unit),Tomato ketchup Amount (Unit),Dark sauce Amount (Unit),Oyster sauce Amount (Unit)
2024-03-28,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,220.0,450.0,420.0,130.0,200.0,60.0,70.0,50.0,6500,0.0,0.0,0.0,2400,0,0.0,80.0,82.0,60.0,7.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-04-03,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,0.0,400.0,400.0,110.0,210.0,65.0,70.0,50.0,6500,90.0,130.0,125.0,2400,370,30.0,80.0,77.0,55.0,8.0,80.0,40.0,8.0,10.0,,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-04-09,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-15,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-18,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-21,130.0,320.0,350.0,90.0,150.0,40.0,30.0,35.0,5500,0.0,0.0,0.0,1500,0,0.0,45.0,65.0,35.0,5.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-04-24,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-27,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-04-28,0.0,350.0,350.0,90.0,160.0,35.0,35.0,35.0,5800,0.0,0.0,0.0,1650,0,0.0,55.0,70.0,40.0,2.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-04-30,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-05,0.0,320.0,375.0,100.0,130.0,30.0,32.0,30.0,5600,110.0,120.0,100.0,1600,350,16.0,50.0,65.0,35.0,3.0,50.0,25.0,3.0,6.0,,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-05-06,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-12,205.0,360.0,390.0,80.0,150.0,40.0,30.0,28.0,5500,0.0,0.0,0.0,1450,0,0.0,40.0,60.0,30.0,1.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-05-15,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-19,0.0,320.0,340.0,70.0,120.0,25.0,28.0,28.0,5500,0.0,0.0,0.0,1450,0,0.0,45.0,70.0,40.0,2.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-05-21,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-24,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
